"일자","지점명","교과명","학생번호","학생명","tel1","tel2","tel3","유형명","순공시간","순공시간(HH:mm:ss)"
'2026-03-03',광명,국어,395744,김규인,"010","7644","9130",인강,"0시간 0분 7초","00:00:07"
'2026-03-03',광명,국어,394073,전선재,"010","8697","1563",실모,"0시간 0분 4초","00:00:04"
'2026-03-03',광주동구,수학,378718,김석영,"010","6613","1892",자습,"4시간 27분 19초","04:27:19"
'2026-03-03',김포,국어,394985,권예은,"010","9297","1949",자습,"3시간 39분 27초","02:39:27"
'2026-03-03',김포,사회탐구,394985,권예은,"010","9297","1949",자습,"1시간 29분 17초","01:29:17"
'2026-03-03',김포,수학,394985,권예은,"010","9297","1949",자습,"3시간 21분 14초","03:21:14"
'2026-03-03',김포,영어,394985,권예은,"010","9297","1949",자습,"2시간 24분 42초","02:23:42"
'2026-03-03',다산,국어,390610,김다은,"010","9800","9975",자습,"0시간 0분 3초","00:00:03"
'2026-03-03',다산,국어,394884,김태훈,"010","4720","5712",자습,"0시간 0분 1초","00:00:01"
'2026-03-03',다산,사회탐구,394884,김태훈,"010","4720","5712",자습,"3시간 44분 38초","02:43:38"
'2026-03-03',다산,수학,394884,김태훈,"010","4720","5712",자습,"0시간 0분 2초","00:00:02"
'2026-03-03',다산,영어,394884,김태훈,"010","4720","5712",인강,"2시간 37분 58초","01:36:58"
'2026-03-03',다산,영어,394884,김태훈,"010","4720","5712",자습,"0시간 0분 5초","00:00:05"
'2026-03-03',다산,수학,391523,박준수,"010","2428","8302",인강,"0시간 0분 7초","00:00:07"
'2026-03-03',다산,수학,391523,박준수,"010","2428","8302",자습,"0시간 0분 15초","00:00:15"
'2026-03-03',다산,수학,393715,서보경,"010","7142","2419",자습,"0시간 0분 13초","00:00:13"
'2026-03-03',다산,국어,394534,석무성,"010","3172","7615",인강,"2시간 29분 0초","02:29:00"
'2026-03-03',다산,국어,394534,석무성,"010","3172","7615",자습,"1시간 30분 15초","00:30:15"
'2026-03-03',다산,수학,394534,석무성,"010","3172","7615",인강,"1시간 24분 42초","01:23:42"
'2026-03-03',다산,사회탐구,395142,홍규택,"010","4901","3097",인강,"0시간 0분 2초","00:00:02"
'2026-03-03',다산,사회탐구,395142,홍규택,"010","4901","3097",자습,"0시간 0분 1초","00:00:01"
'2026-03-03',다산,수학,395142,홍규택,"010","4901","3097",자습,"0시간 0분 2초","00:00:02"
'2026-03-03',다산,영어,395142,홍규택,"010","4901","3097",자습,"0시간 0분 2초","00:00:02"
'2026-03-03',대구수성 2관,국어,393968,박건률,"010","6501","3086",자습,"2시간 47분 56초","01:46:56"
'2026-03-03',대구수성 2관,사회탐구,393968,박건률,"010","6501","3086",자습,"2시간 49분 58초","01:48:58"
'2026-03-03',대구수성 2관,수학,393968,박건률,"010","6501","3086",자습,"3시간 46분 53초","02:45:53"
'2026-03-03',대구수성 2관,영어,393968,박건률,"010","6501","3086",자습,"1시간 20분 57초","01:19:57"
'2026-03-03',대구수성 2관,국어,395456,박민우,"010","6288","3605",자습,"2시간 36분 43초","01:35:43"
'2026-03-03',대구수성 2관,수학,395456,박민우,"010","6288","3605",자습,"4시간 12분 59초","04:11:59"
'2026-03-03',대구수성 2관,영어,395456,박민우,"010","6288","3605",자습,"1시간 1분 17초","01:01:17"
'2026-03-03',대구수성 2관,국어,391393,이예현,"010","7308","0836",자습,"1시간 9분 37초","01:08:37"
'2026-03-03',대구수성 2관,수학,391393,이예현,"010","7308","0836",자습,"0시간 18분 51초","00:17:51"
'2026-03-03',대구수성 2관,수학,392431,조우승,"010","4991","0154",인강,"3시간 8분 9초","03:08:09"
'2026-03-03',대구수성 2관,수학,393788,최진혁,"010","4909","2833",자습,"0시간 0분 6초","00:00:06"
'2026-03-03',대구수성 2관,수학,394931,최현우,"010","4993","3378",인강,"0시간 0분 21초","00:00:21"
'2026-03-03',대치,국어,393881,권승혁,"010","3307","9472",인강,"0시간 0분 4초","00:00:04"
'2026-03-03',대치,수학,394299,김수민A,"010","5092","0512",자습,"0시간 0분 2초","00:00:02"
'2026-03-03',대치,수학,392686,김원일,"010","9599","7124",자습,"0시간 0분 5초","00:00:05"
'2026-03-03',대치,과학탐구,393159,김지윤A,"010","8596","6884",자습,"1시간 39분 18초","00:39:18"
'2026-03-03',대치,국어,393159,김지윤A,"010","8596","6884",인강,"1시간 58분 23초","00:58:23"
'2026-03-03',대치,국어,393159,김지윤A,"010","8596","6884",자습,"1시간 42분 5초","00:42:05"
'2026-03-03',대치,수학,393159,김지윤A,"010","8596","6884",인강,"1시간 37분 39초","00:36:39"
'2026-03-03',대치,사회탐구,394771,김찬진,"010","3901","9846",자습,"0시간 0분 1초","00:00:01"
'2026-03-03',대치,수학,394771,김찬진,"010","3901","9846",인강,"7시간 46분 1초","06:46:01"
'2026-03-03',대치,수학,394771,김찬진,"010","3901","9846",자습,"0시간 0분 15초","00:00:15"
'2026-03-03',대치,영어,394771,김찬진,"010","3901","9846",자습,"1시간 38분 38초","00:37:38"
'2026-03-03',대치,수학,394209,신주형,"010","4866","7671",자습,"0시간 0분 3초","00:00:03"
'2026-03-03',대치,영어,394820,오성주,"010","9076","8308",자습,"0시간 0분 8초","00:00:08"
'2026-03-03',대치,수학,393614,은승범,"010","2365","0420",자습,"0시간 0분 4초","00:00:04"
'2026-03-03',대치,국어,392863,이서영,"010","6322","2442",단과,"3시간 33분 2초","02:33:02"
'2026-03-03',대치,국어,392863,이서영,"010","6322","2442",자습,"0시간 0분 4초","00:00:04"
'2026-03-03',대치,수학,392863,이서영,"010","6322","2442",인강,"2시간 48분 44초","01:47:44"
'2026-03-03',대치,수학,392863,이서영,"010","6322","2442",자습,"1시간 52분 19초","00:52:19"
'2026-03-03',동탄,수학,395954,박은빈,"010","8603","5912",자습,"0시간 0분 5초","00:00:05"
'2026-03-03',동탄,수학,396270,박채원,"010","2465","4624",자습,"0시간 0분 14초","00:00:14"
'2026-03-03',동탄,수학,396170,정은진,"010","3607","1695",자습,"0시간 0분 5초","00:00:05"
'2026-03-03',목동,국어,393707,강서영,"010","7200","9667",인강,"0시간 0분 9초","00:00:09"
'2026-03-03',목동,국어,393707,강서영,"010","7200","9667",자습,"0시간 1분 22초","00:01:22"
'2026-03-03',목동,국어,393645,김민재,"010","6346","5545",자습,"1시간 27분 0초","01:27:00"
'2026-03-03',목동,영어,393645,김민재,"010","6346","5545",자습,"1시간 46분 19초","00:46:19"
'2026-03-03',목동,국어,396282,김태훈,"010","3169","1615",실모,"0시간 0분 4초","00:00:04"
'2026-03-03',목동,수학,395262,박경민,"031","312","5015",자습,"0시간 0분 4초","00:00:04"
'2026-03-03',목동,수학,395262,박경민,"010","7295","5012",자습,"0시간 0분 4초","00:00:04"
'2026-03-03',목동,국어,388927,신지현,"010","5475","4080",인강,"0시간 14분 15초","00:14:15"
'2026-03-03',목동,국어,380514,이서현,"010","9760","5248",자습,"0시간 26분 1초","00:26:01"
'2026-03-03',목동,수학,392364,전성민,"010","2360","6538",인강,"1시간 28분 27초","01:28:27"
'2026-03-03',목동,수학,392364,전성민,"010","2360","6538",자습,"0시간 0분 2초","00:00:02"
'2026-03-03',목동,국어,390254,허시명,"010","2106","4003",자습,"16시간 32분 6초","15:32:06"
'2026-03-03',목포,수학,380713,오지연,"010","9845","2711",자습,"0시간 1분 14초","00:01:14"
'2026-03-03',부산북구,국어,394875,정채윤,"010","3041","6605",자습,"1시간 40분 8초","00:40:08"
'2026-03-03',부산북구,수학,394875,정채윤,"010","3041","6605",자습,"0시간 21분 11초","00:21:11"
'2026-03-03',부산북구,영어,394875,정채윤,"010","3041","6605",자습,"1시간 58분 37초","00:57:37"
'2026-03-03',분당정자,수학,386000,김서진,"010","9789","0548",자습,"0시간 1분 52초","00:00:52"
'2026-03-03',분당정자,수학,395717,김세현,"010","2920","5761",자습,"0시간 0분 3초","00:00:03"
'2026-03-03',분당정자,사회탐구,394135,김한빛,"010","3035","4477",자습,"0시간 0분 1초","00:00:01"
'2026-03-03',분당정자,사회탐구,379860,김현아,"010","7324","4610",자습,"3시간 15분 32초","03:14:32"
'2026-03-03',분당정자,수학,379860,김현아,"010","7324","4610",자습,"4시간 4분 3초","04:04:03"
'2026-03-03',분당정자,영어,379860,김현아,"010","7324","4610",자습,"1시간 9분 27초","01:09:27"
'2026-03-03',분당정자,국어,394526,박시우,"010","7180","4333",자습,"2시간 55분 56초","01:54:56"
